2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
02020501208,1435外箱,CH1435,63,227.43,,,,,63,227.43
02020501209,1437外箱,CH1437,70,252.7,,,,,70,252.7
02020501212,1441外箱,CH1441,70,252.7,,,,,70,252.7
02020501271,外箱,CH1674,35,134.75,,,35,134.75,,
02020501273,外箱,CH1677,33,127.05,,,,,33,127.05
02020501286,外箱,CH1276,50,180,,,,,50,180
02020501290,外箱,CH191696,48,114.24,,,10,23.8,38,90.44
02020501291,外箱,CH191697,20,65.2,,,,,20,65.2
02020501292,外箱,CH191699,143,360.94,,,20,65.2,123,295.74
02020501293,外箱,CH191700,20,65.2,,,10,32.6,10,32.6
02020501294,外箱,CH191701,53,143.74,,,20,47.6,33,96.14
02020501295,外箱,CH191702,108,267.08,,,8,26.08,100,241
02020501296,外箱,CH191703,20,65.2,,,5,16.3,15,48.9
02020501297,外箱,CH191704,20,65.2,,,5,16.3,15,48.9
02020501298,外箱,CH191698,20,65.2,,,2,6.52,18,58.68
02020501301,外箱,DP197088,200,631,,,100,329,100,302
02020501307,外箱,CH191596,42,179.54,,,20,98.8,22,80.74
02020501319,外箱,SD198130,30,76.2,,,,,30,76.2
02020501321,外箱,SD198135,140,340.2,,,,,140,340.2
02020501353,外箱,DP197074,200,797,,,100,430,100,367
02020501354,外箱,DP197083,100,403,,,100,403,,
02020501371,外箱,CH191682,85,303.45,,,10,35.7,75,267.75
02020501373,外箱,CH191684,30,104.4,,,,,30,104.4
02020501374,外箱,CH191685,89,345.13,,,69,246.33,20,98.8
02020501375,外箱,CH191710,18,137.52,,,18,137.52,,
0202050201,外箱,DP7062,30,137.7,,,14,64.26,16,73.44
0202050205,外箱,DP197094,122,556.37,,,100,456.04,22,100.33
0202050207,外箱,DP197099,115,331.2,,,100,288,15,43.2
0202050209,外箱,DP197101,55,174.35,,,18,57.06,37,117.29
0202050211,外箱,DP197110,299,643.47,300,573,402,816.4,197,400.07
02020501376,外箱,CH191592,147,655.89,,,100,427,47,228.89
02020501377,外箱,CH191593,147,655.89,,,100,427,47,228.89
02020501378,外箱,CH191594,100,427,,,60,256.2,40,170.8
02020501379,外箱,CH191595,100,427,,,93,397.11,7,29.89
02020501380,外箱,BTS196001,7,28.35,,,7,28.35,,
02020501386,外箱,BTS196007,50,163,,,,,50,163
02020501388,外箱,CH191706,110,532.4,,,,,110,532.4
02020501390,外箱,CH191708,100,484,,,,,100,484
02020501391,外箱,DP197087,140,639.8,,,90,397.8,50,242
02020501392,外箱,DP7063,260,954.2,,,165,605.55,95,348.65
02020501393,外箱,DP197104,355,1576.7,,,40,164.4,315,1412.3
02020501396,外箱,DP197098,170,847.5,,,40,172.8,130,674.7
02020501413,展示盒外箱,DP197109,50,172.5,,,22,75.9,28,96.6
02020501422,展示盒外箱,DP197102,78,334.22,,,28,104.72,50,229.5
02020501436,外箱,CH191678,70,257.6,,,3,11.04,67,246.56
02020501437,外箱,CH191679,80,294.4,,,6,22.08,74,272.32
02020501438,外箱,CH191680,92,338.56,,,12,44.16,80,294.4
02020501439,外箱,CH191681,88,323.84,,,8,29.44,80,294.4
02020501443,展示盒外箱,DP207170,100,403,,,100,403,,
02020501471,外箱,DP197119,100,430,,,100,430,,
02020501473,外箱,PZ205061,92,306.36,,,72,232.56,20,73.8
02020501474,外箱,PZ205062,77,257.91,,,48,155.04,29,102.87
02020501475,外箱,PZ205063,75,251.45,,,35,113.05,40,138.4
02020501476,外箱,PZ205064,60,203,,,26,83.98,34,119.02
02020501477,外箱,PZ205065,70,235.3,,,31,100.13,39,135.17
02020501478,外箱,PZ205066,110,364.5,,,90,290.7,20,73.8
02020501479,外箱,CH201618,265,906.1,,,25,88.5,240,817.6
02020501480,外箱,CH201619,26,92.04,100,330,26,92.04,100,330
02020501481,外箱,CH201749,69,212.52,,,15,46.2,54,166.32
02020501482,外箱,CH201750,24,73.92,,,24,73.92,,
02020501483,外箱,CH201751,58,178.64,,,58,178.64,,
02020501484,外箱,DP207235,235,847.4,,,135,491.4,100,356
02020501485,外箱,DP207236,190,745.6,,,100,391,90,354.6
02020501486,外箱,DP207215,78,287.82,,,42,154.98,36,132.84
02020501487,外箱,CH201743,30,124.8,,,30,124.8,,
02020501488,外箱,CH201744,100,481,,,50,240.5,50,240.5
02020501490,外箱,CH201723,68,278.12,,,20,81.8,48,196.32
02020501492,外箱,DP207234,100,376,,,100,376,,
02020501493,外箱,DP207240,100,236,,,100,236,,
02020501494,外箱,DP207277,90,212.4,,,55,129.8,35,82.6
02020501495,外箱,DP207239,134,591.44,,,100,433,34,158.44
02020501499,外箱,CH191601,171,353.61,34,64.94,,,205,418.55
02020501513,瑞士外箱7086,6307086,100,306,,,,,100,306
02020501529,外箱,DP207302,17,109.14,,,,,17,109.14
0202050221,蓝色小船长外箱,CH1276,100,320,,,,,100,320
0202050222,粉色小船长外箱,CH1276,120,384,,,,,120,384
0202050234,外箱,DP217325,16,76.48,,,,,16,76.48
0202050235,外箱,DP217327,16,76.48,,,,,16,76.48
0202050236,外箱,DP217313,134,540.02,,,100,403,34,137.02
0202050241,外箱,38131,94,724.74,,,94,724.74,,
02020501540,外箱,CH201767,55,243.1,,,,,55,243.1
02020501541,外箱,CH201768,20,88.4,,,,,20,88.4
0202050254,外箱,DP207289,180,824.9,,,70,325.5,110,499.4
0202050255,外箱,DP207290,125,536.25,,,100,429,25,107.25
0202050267,外箱,DP217326,14,66.92,,,,,14,66.92
0202050268,外箱,DP217328,15,71.7,,,,,15,71.7
0202050270,外箱,DP207304,15,96.3,,,,,15,96.3
0202050271,外箱,DP207305,10,64.2,,,,,10,64.2
0202050280,外箱,DP217355,50,192.5,,,23,88.55,27,103.95
0202050287,外箱,7331620,,,100,363,100,363,,
02020503002,外箱,CH211590,147,655.89,,,40,170.8,107,485.09
02020503003,外箱,CH211591,100,427,,,40,170.8,60,256.2
02020503004,外箱,CH211752,153,471.24,,,23,70.84,130,400.4
02020503005,外箱,CH211753,148,455.84,,,36,110.88,112,344.96
02020503006,外箱,CH211754,138,425.04,,,56,172.48,82,252.56
02020503007,外箱,DP217377,100,511,,,100,511,,
02020503008,外箱,DP217378,60,279,,,35,162.75,25,116.25
02020503009,外箱,DP217379,192,718.08,,,100,374,92,344.08
02020503010,外箱,DP217380,270,1034.1,,,174,666.42,96,367.68
02020503011,外箱,CH211731,20,99,,,,,20,99
02020503012,外箱,CH211732,20,99,,,10,49.5,10,49.5
02020503013,外箱,CH211733,20,99,,,,,20,99
02020503014,外箱,CH211734,20,99,,,10,49.5,10,49.5
02020503015,內箱,CH211731,40,54.4,,,,,40,54.4
02020503016,內箱,CH211732,40,54.4,,,20,27.2,20,27.2
02020503017,內箱,CH211733,40,54.4,,,,,40,54.4
02020503018,內箱,CH211734,40,54.4,,,20,27.2,20,27.2
02020503030,外箱-1376,CH1376,28,187.88,,,28,187.88,,
02020503031,外箱-1377,CH1377,93,586.27,,,,,93,586.27
02020503036,外箱,CH211796,85,341.7,,,10,40.2,75,301.5
02020503037,外箱,CH211797,80,321.6,,,15,60.3,65,261.3
02020503038,外箱,CH211798,82,329.64,,,15,60.3,67,269.34
02020503039,外箱,CH211799,75,301.5,,,16,64.32,59,237.18
02020503040,外箱,CH211787,42,171.78,,,17,69.53,25,102.25
02020503041,内箱,CH211787,52,74.88,,,1,1.44,51,73.44
02020503049,外箱,LC210050-1,167,68.47,,,,,167,68.47
02020503050,外箱,LC210049-1,150,64.5,,,,,150,64.5
02020503052,天猫外箱,,599,1382.9,,,399,1236.9,200,146
02020503053,外箱,,72,483.12,,,,,72,483.12
02020503054,外箱,,152,723.52,,,,,152,723.52
02020503060,外箱,DP217419,100,419,,,100,419,,
02020503061,外箱,DP217428,110,517,,,100,470,10,47
02020503062,外箱,DP217420,200,713,,,100,368,100,345
02020503063,外箱,DP217422,100,394,,,100,394,,
02020503066,外箱,BTS216017/18/19/20,230,708.4,,,25,77,205,631.4
02020501543,外箱,CH211785,19,70.11,111,409.59,,,130,479.7
02020501544,外箱,38195,63,406.98,,,,,63,406.98
02020503068,德国外箱1618,,35,118.3,,,,,35,118.3
02020503080,外箱,,201,639.18,,,,,201,639.18
02020503081,内箱,,478,449.32,,,40,37.6,438,411.72
02020503082,外箱,,126,496.44,,,,,126,496.44
02020503083,外箱,,50,245,,,,,50,245
02020503084,外箱,CH211788、89,50,211.5,,,10,42.3,40,169.2
02020503085,外箱,,34,222.02,,,,,34,222.02
02020501545,外箱,DP7062,300,1020,,,200,680,100,340
02020501549,外箱,,98,508.62,,,,,98,508.62
02020501550,外箱,,111,517.26,,,,,111,517.26
02020501556,瑞士外箱7110,6307110,75,150.25,,,,,75,150.25
02020501557,瑞士外箱7379,6307379,152,688.6,,,,,152,688.6
02020501559,瑞士外箱1743,6301743,29,167.62,,,,,29,167.62
02020503092,外箱,,50,203.5,,,,,50,203.5
02020503093,外箱,,117,381.42,,,,,117,381.42
02020501010,（阳光捕手套装）外箱,,84,354.48,,,84,354.48,,
02020501011,外箱,DP207254E,50,403,,,21,169.26,29,233.74
02020503099,內箱,CH191678/79/80/81,462,559.02,,,6,7.26,456,551.76
02020503102,外箱,,50,344.5,,,,,50,344.5
02020503103,外箱,,100,768,,,,,100,768
02020503105,外箱,CH221800-07,168,707.28,,,38,159.98,130,547.3
02020503107,内箱,CH221839-42,165,209.55,,,35,44.45,130,165.1
02020503109,外箱,DP227451,300,1666,,,100,600,200,1066
02020503110,外箱,DP227452,150,604.5,,,100,403,50,201.5
02020503111,外箱,DP227453,100,484,,,100,484,,
02020503112,外箱,DP227454,139,720.93,,,100,531,39,189.93
02020503113,外箱,DP227459,200,1104,,,100,552,100,552
02020503114,外箱,DP227430,320,1346.6,,,100,372,220,974.6
02020503115,外箱,DP227449,100,353,,,100,353,,
02020503116,外箱,DP227450,235,935.55,,,135,557.55,100,378
02020501013,外箱,CH221883/84/85/86,40,161.6,,,40,161.6,,
02020501014,内箱,CH221883/84/85/86,112,142.24,,,112,142.24,,
02020501015,德国外箱7110,6307110,36,75.24,,,,,36,75.24
02020501016,德国外箱7379,6307379,102,475.32,,,,,102,475.32
02020501017,德国外箱7449,6307449,45,158.85,,,,,45,158.85
02020501018,德国外箱7459,6307459,50,323,,,,,50,323
02020501019,瑞士外箱7459,6307459,20,129.2,,,,,20,129.2
02020501022,瑞士外箱,6307236,105,413.7,,,,,105,413.7
02020501023,外箱,,50,340,,,,,50,340
02020503117,外箱,,160,688,,,,,160,688
02020503118,外箱,,63,311.22,,,,,63,311.22
02020503119,外箱,,104,455.52,,,,,104,455.52
02020503120,外箱,,,,105,681.45,,,105,681.45
02020501025,外箱,DP227493,100,400,,,100,400,,
02020503121,外箱,CH221815,175,880.5,,,75,382.5,100,498
02020503122,外箱,CH221816,82,418.2,200,996,82,418.2,200,996
02020503123,外箱,CH221817,80,408,200,996,80,408,200,996
02020503124,外箱,CH221818,80,408,200,996,80,408,200,996
02020501027,1443外箱,CH1443,63,227.43,,,,,63,227.43
02020501028,外箱,CH211790,44,177.32,,,15,60.45,29,116.87
02020501029,外箱,CH211791,34,137.02,,,10,40.3,24,96.72
020205031030,外箱,CH211792,34,137.02,,,15,60.45,19,76.57
02020501034,内箱,CH221863,128,108.8,,,,,128,108.8
02020501035,内箱,CH221864,98,83.3,,,,,98,83.3
02020501036,内箱,CH221865,108,91.8,,,,,108,91.8
02020501037,内箱,CH221866,135,114.75,,,,,135,114.75
02020501038,外箱,CH221863,60,242.4,,,,,60,242.4
02020501039,外箱,CH221864,60,242.4,,,,,60,242.4
02020501040,外箱,CH221865,60,242.4,,,,,60,242.4
02020501041,外箱,CH221866,60,242.4,,,,,60,242.4
02020501042,外箱,CH221637,55,204.6,130,471.9,55,204.6,130,471.9
02020501043,外箱,CH221638,110,381.8,,,10,9.8,100,372
02020501044,内箱,CH221637,40,39.2,260,254.8,15,14.7,285,279.3
02020501045,内箱,CH221638,219,214.62,,,15,14.7,204,199.92
02020501569,德国外箱,6301636,125,401.25,,,,,125,401.25
02020501047,外箱,CH221801,80,321.6,,,15,60.3,65,261.3
02020501048,外箱,CH221802,66,265.32,,,17,68.34,49,196.98
02020501049,外箱,CH221803,76,305.52,,,18,72.36,58,233.16
02020501050,外箱,CH221804,80,321.6,,,19,76.38,61,245.22
02020501051,外箱,CH221805,80,321.6,,,18,72.36,62,249.24
02020501052,外箱,CH221806,74,297.48,,,19,76.38,55,221.1
02020501053,外箱,CH221807,66,265.32,,,18,72.36,48,192.96
0202050117,外箱,CH221855,100,296,,,16,47.36,84,248.64
02020501571,外箱,CH221856,100,296,,,16,47.36,84,248.64
02020501572,外箱,CH221857,100,296,,,16,47.36,84,248.64
02020501573,外箱,CH221858,100,296,,,16,47.36,84,248.64
02020501574,内箱,CH221855,200,184,,,32,29.44,168,154.56
02020501575,内箱,CH221856,200,184,,,32,29.44,168,154.56
02020501576,内箱,CH221857,200,184,,,32,29.44,168,154.56
02020501577,内箱,CH221858,200,184,,,32,29.44,168,154.56
02020501578,外箱,DP227492,100,369,,,100,369,,
02020501054,外箱,DP227458,100,341,,,100,341,,
02020501579,外箱,CH191602,21,40.11,34,64.94,,,55,105.05
02020501580,外箱,CH211786,19,70.11,111,409.59,,,130,479.7
02020501055,外箱,CH221658,42,80.22,104,198.64,,,146,278.86
02020501056,外箱,CH221659,42,80.22,104,198.64,,,146,278.86
02020501581,外箱,ZE1067A,505,1883.65,,,505,1883.65,,
02020501582,外箱,ZE1070A,505,1590.75,,,505,1590.75,,
02020501583,外箱,112604,,,123,234.93,,,123,234.93
02020501584,外箱,112612,,,123,555.96,,,123,555.96
02020501585,外箱,112626,,,12,47.04,,,12,47.04
02020501586,外箱,CH221827,,,25,80.75,,,25,80.75
02020501587,外箱,CH221828,,,25,80.75,,,25,80.75
02020501588,外箱,,,,205,666.25,,,205,666.25
02020501057,外箱,,,,53,294.15,,,53,294.15
02020501058,内箱,,,,805,394.45,,,805,394.45
02020501589,外箱,,,,505,1590.75,,,505,1590.75
02020501590,外箱,CH221883,,,100,376,10,37.6,90,338.4
02020501591,外箱,CH221884,,,100,376,10,37.6,90,338.4
02020501592,外箱,CH221885,,,100,376,10,37.6,90,338.4
02020501594,内箱,CH221883,,,300,624,20,75.2,280,548.8
02020501595,内箱,CH221884,,,200,248,20,24.8,180,223.2
02020501596,内箱,CH221885,,,200,248,20,24.8,180,223.2
02020501597,内箱,CH221886,,,200,248,10,12.4,190,235.6
0202050310,防割板,,5000,750,,,2200,330,2800,420
0202050325,隔板,,,,105,31.5,,,105,31.5
0202050434,内盒,CH1629,40,40,,,20,20,20,20
0202050436,内盒,CH1631,,,260,254.8,60,58.8,200,196
0202050438,内盒,CH1633,140,140,,,95,95,45,45
0202050439,内盒,CH1634,40,40,,,40,40,,
0202050494,内盒,CH191593,49,53.9,,,1,1.1,48,52.8
0202050495,内盒,CH191594,123,135.3,,,3,3.3,120,132
0202050496,内盒,CH191595,27,29.7,,,27,29.7,,
0202050497,内盒,BTS196001,32,28.48,,,32,28.48,,
02020504103,内盒,BTS196007,200,154,,,,,200,154
02020504105,内盒,CH191706,340,357,,,,,340,357
02020504107,内盒,CH191708,300,315,,,,,300,315
02020504133,内盒,CH201721,20,26.6,,,,,20,26.6
02020504134,内盒,CH201723,16,21.28,,,1,1.33,15,19.95
0202050500,内盒,38131,750,750,,,750,750,,
02020504141,内盒,CH201767,170,238,,,,,170,238
02020504144,内盒,CH201768,220,308,,,,,220,308
02020504145,内盒,CH211590,103,113.3,,,1,1.1,102,112.2
02020504146,内盒,CH211591,38,41.8,,,1,1.1,37,40.7
02020504148,迷你刮画内盒--空白盒,,8800,4840,,,,,8800,4840
02020702,无字十字绣线,,50,27.5,,,,,50,27.5
02020703,十字绣线,400,,,8050,1247.75,,,8050,1247.75
02020704,十字绣线,3855,,,8050,1247.75,,,8050,1247.75
02020705,白色十字绣线,,6,195,,,,,6,195
02020706,黄色十字绣线,,1,32.5,,,,,1,32.5
02020707,十字绣线,棕色,850,93.5,,,,,850,93.5
02020708,十字绣线,蓝色 995,3000,330,,,1250,137.5,1750,192.5
02020718,蓝色十字绣线,,10,325,,,,,10,325
02020723,白色十字绣线,,16,520,,,,,16,520
02020724,肉色十字绣线,,6,195,,,,,6,195
02020725,十字绣线,棕色,4,130,,,,,4,130
02020726,十字绣线,玫红色 3805,50,1625,,,,,50,1625
02020727,紫色十字绣线,,1,32.5,,,,,1,32.5
02020728,12股锦纶线,深蓝-20,70,406,,,,,70,406
02020729,12股锦纶线,天蓝-25,68,394.4,,,,,68,394.4
02020730,12股锦纶线,白-36,135,783,,,,,135,783
02020731,12股锦纶线,黄-11,138,800.4,,,,,138,800.4
02020732,12股锦纶线,荧光玫红-6,158,916.4,,,,,158,916.4
02020733,12股锦纶线,玫红-7,12,69.6,,,,,12,69.6
02020734,12股锦纶线,浅粉-49,12,69.6,,,,,12,69.6
02020735,12股锦纶线,橙色-15,24,139.2,,,,,24,139.2
02020736,9股金线,金-195,31,372,,,,,31,372
02020738,十字绣线,粉色 605,2600,286,,,1250,137.5,1350,148.5
02020739,白色十字绣线,BLANC,3200,496,,,1250,193.75,1950,302.25
02020740,十字绣线,黄色 444,535,58.85,,,,,535,58.85
02020741,十字绣线,红色 817,3000,330,,,1250,137.5,1750,192.5
02020742,十字绣线,棕色 300,8,260,1,32.5,,,9,292.5
02020747,白色BLANC线,,4,130,,,,,4,130
02020748,紫色155线,,2,65,,,,,2,65
02020749,黄色444线,,3,97.5,,,,,3,97.5
02020750,十字绣线,红色 817,4,130,,,,,4,130
02020752,毛线,棕色300,2,65,,,,,2,65
02020753,绿色703线,,3,97.5,,,,,3,97.5
02020754,蓝色3846线,,5,162.5,,,,,5,162.5
02020755,橘色947线,,11,357.5,,,,,11,357.5
02020756,紫色毛线,,136,8442.5,21,605.64,,,157,9048.14
02020757,橘色毛线,,122,7565.54,,,,,122,7565.54
02020761,绿色十字绣线,,335,36.85,,,,,335,36.85
02020763,十字绣线,灰色 318,8142,895.62,,,3000,330,5142,565.62
02020765,十字绣线,白色 B5200,85,2762.5,,,,,85,2762.5
02020767,十字绣线,粉色 963,2,65,,,,,2,65
02020768,十字绣线,棕色 400,7,227.5,,,,,7,227.5
02020769,十字绣线,黄色 307,45,1462.5,,,,,45,1462.5
02020770,十字绣线,肉色 3779,1,32.5,,,,,1,32.5
02020771,十字绣线,灰色 318,1,32.5,,,,,1,32.5
02020772,十字绣线,黑色 310,196,6370,,,,,196,6370
02020773,十字绣线,蓝色 3843,83,2697.5,,,,,83,2697.5
02020774,十字绣线,紫色 550,35,1137.5,,,,,35,1137.5
02020775,十字绣线,红色 817,21,682.5,,,,,21,682.5
02020776,十字绣线,桔色 608,10,325,,,,,10,325
02020777,十字绣线,黄色 740,2,65,,,,,2,65
02020778,十字绣线,白色 ECRU,7,227.5,,,,,7,227.5
02020779,十字绣线,西瓜红 3705,1,32.5,,,,,1,32.5
02020780,十字绣线,粉色 603,1,32.5,,,,,1,32.5
02020781,十字绣线,绿色 907,18,585,,,,,18,585
02020782,十字绣线,桔色 947,20,650,,,,,20,650
02020783,十字绣线,棕色 300,6,195,,,,,6,195
02020784,十字绣线,玫红 3804,69,2242.5,,,,,69,2242.5
02020785,三色8米棉线,,10100,5555,,,,,10100,5555
02020793,十字绣线,玫红 3804,850,93.5,,,,,850,93.5
02020796,十字绣线,,41500,4565,,,12189,1340.79,29311,3224.21
02020799,十字绣线,米白色 712,51100,7650.5,,,6000,660,45100,6990.5
02020800,十字绣线,粉色 3609,23,747.5,,,,,23,747.5
020208004,十字绣线,橙色 740,26200,2882,,,11365,1250.15,14835,1631.85
020208005,十字绣线,蓝色 3843,12500,1654,,,5521,855.76,6979,798.24
020208006,十字绣线,紫色 3837,9500,1189,,,3000,465,6500,724
020208007,十字绣线,橘色 970,5,162.5,,,,,5,162.5
020208009,橘色十字绣线,橘色 970,2100,231,,,1250,137.5,850,93.5
020208010,十字绣线,棕色 300,3000,330,3000,330,3000,330,3000,330
020208012,十字绣线-蓝色,,4450,489.5,,,1250,137.5,3200,352
020208013,十字绣线-黄色,,1250,137.5,,,1250,137.5,,
020208014,十字绣线-白色,,1250,137.5,,,1250,137.5,,
020208015,十字绣线-红色,,1250,137.5,,,1250,137.5,,
020208016,十字绣线-黑色,,4250,467.5,,,1250,137.5,3000,330
020208017,十字绣线,灰色 318,8200,1271,,,3000,465,5200,806
020208019,十字绣线-段染,,2800,308,,,1250,137.5,1550,170.5
020208020,十字绣线,粉色 963,5400,738,,,1250,137.5,4150,600.5
020208021,十字绣线,3842,2,65,,,,,2,65
020208022,十字绣线,黑色 310,17050,1875.5,,,7652,841.72,9398,1033.78
020208024,十字绣线,红色 666,11,357.5,,,,,11,357.5
020208025,十字绣线,白色 B5200,11300,1526.5,8050,1247.75,3700,573.5,15650,2200.75
020208031,十字绣线,草绿色 907,12200,1342,,,3965,436.15,8235,905.85
020208033,十字绣线,黄色 307,15200,1672,,,6354,698.94,8846,973.06
020208040,十字绣线,CH221815/16/17/18,7536,1168.08,,,5932,919.46,1604,248.62
020208041,十字绣线,CH221815/16/17/18,18336,2016.96,,,9512,1046.32,8824,970.64
020208042,十字绣线,玫红3805,12300,1353,,,4986,548.46,7314,804.54
020208043,十字绣线,橘色947,12200,1342,,,4723,519.53,7477,822.47
020208044,十字绣线,粉色3609,12200,1342,,,3360,369.6,8840,972.4
020208045,十字绣线,藏青色823,12200,1342,,,4587,504.57,7613,837.43
020208047,十字绣线,红色 891,1,32.5,,,,,1,32.5
020208048,2色线板（3M）,紫色155，玫红891,3100,713,,,1250,287.5,1850,425.5
020208049,粉色线板（6M）,粉色 605,3100,589,,,,,3100,589
020208050,蓝白渐变线板（6M）,蓝白渐变 2008,3100,589,,,1250,237.5,1850,351.5
020208051,3色线板（2M）,黑色310，蓝色3846，黄色307,3100,713,,,1250,287.5,1850,425.5
020208052,十字绣线,红色 892,3200,496,,,1250,193.75,1950,302.25
020208053,十字绣线,棕色 301,3,97.5,,,,,3,97.5
020208054,十字绣线,米白色 712,5,162.5,,,,,5,162.5
020208055,十字绣线,绿色 702,3,97.5,,,,,3,97.5
020208056,十字绣线,紫色 550,3000,330,,,1250,137.5,1750,192.5
020208057,十字绣线,棕色 801,2,65,,,,,2,65
020208058,十字绣线,黄色 972,3200,352,,,1250,137.5,1950,214.5
020208059,十字绣线,722,,,3100,480.5,1250,193.75,1850,286.75
020208060,十字绣线,3820,,,3100,480.5,1250,193.75,1850,286.75
02020811,丝滑蜡笔,大红,408,314.16,,,192,147.84,216,166.32
02020814,丝滑蜡笔,紫色,168,129.36,,,168,129.36,,
02020818,丝滑蜡笔,桔色,55,42.35,,,55,42.35,,
02020819,丝滑蜡笔,草绿,163,125.51,,,163,125.51,,
02020820,丝滑蜡笔,蓝色,238,183.26,,,192,147.84,46,35.42
02020821,金属6色丝滑蜡笔,,1298,7762.04,,,,,1298,7762.04
02020822,积木蜂蜡蜡笔12色,,12036,87261,,,,,12036,87261
02020823,树叶蜡笔,BTS216017,133428,46699.8,,,23340,8169,110088,38530.8
02021006,蓝色不干胶,,500,60,,,,,500,60
02021009,纹身贴不干胶,69323,1800,126,,,,,1800,126
02021104,透明半圆底座,,140128,30828.16,,,,,140128,30828.16
020212,纹身贴展示盒套,,35,192.5,,,,,35,192.5
020213,纸绳,,21052,1263.12,,,,,21052,1263.12
020214,皮筋,,257,8917.9,,,,,257,8917.9
020215,勺形吸管,,3300,466,,,,,3300,466
020218,亮钻,,7690,3076,,,,,7690,3076
02021901,2字型塑料挂钩,,84950,2961.1,,,,,84950,2961.1
02021904,透明塑料软挂钩,,8500,510,,,,,8500,510
02021909,塑料挂钩,LC200057-1,7200,648,,,,,7200,648
02021910,塑料挂钩,LC200037-1,8200,738,,,,,8200,738
02022101,十字绣展示盒,,121,338.8,,,,,121,338.8
02022105,小纹身贴展示盒（第八批）,,100,1000,,,,,100,1000
02022106,大纹身贴展示盒（第八批）,,52,520,,,,,52,520
02022109,刮画展示盒,,127,340.36,,,,,127,340.36
02022110,刮画展示盒保护罩,,119,92.82,,,,,119,92.82
02022111,十字绣展示盒保护罩,,149,163.9,,,,,149,163.9
02022113,立体外箱,,135,505.8,,,,,135,505.8
02022115,展示盒+卡头,DP197067,104,832,,,,,104,832
02022116,展示盒+卡头,DP197068,121,968,,,,,121,968
02022117,展示盒+卡头,DP197069,90,720,,,,,90,720
02022118,展示盒+卡头,DP197070,147,1176,,,,,147,1176
02022119,展示盒+卡头,DP197073,100,1750,,,,,100,1750
02022123,大信封展示盒,,34,140.42,,,,,34,140.42
02022124,大信封保护罩,,14,18.9,,,,,14,18.9
02022125,方盒展示盒,,72,345.6,,,,,72,345.6
02022126,展示盒,CH197097K,28,256.2,,,,,28,256.2
02022127,展架,DP197089,15,5850,,,,,15,5850
02022129,外销笔套展示盒,DP197086K,192,604.8,,,98,308.7,94,296.1
02022131,指甲贴展示盒,DP197088,25,265,,,,,25,265
02022132,像素马赛克展示盒,,3,18.75,,,,,3,18.75
02022133,关节玩偶套装展示盒,DP197104K,101,543.23,,,,,101,543.23
02022137,6色丝滑蜡笔展示盒,DP197099K,135,1012.5,,,,,135,1012.5
02022138,口袋贴纸展示盒,DP197101K,46,469.2,,,,,46,469.2
02022139,便签刮画本展示盒,DP197111K,121,515.46,,,,,121,515.46
02022140,迷你刮画本展示盒,DP197110K,8,31.6,,,,,8,31.6
02022141,线圈刮画本展示盒,,142,1462.6,,,,,142,1462.6
02022143,帆布画框展示盒,,83,742.85,,,,,83,742.85
0202214406,通用卡头,精品盒,277,727,,,,,277,727
02022145,不干胶套装展示盒,,90,630,,,,,90,630
02022147,展示盒,DP207170K,34,435.2,,,,,34,435.2
02022148,展示盒,DP197119K,66,844.8,,,,,66,844.8
02022149,展示盒,DP207171K,131,288.2,,,,,131,288.2
02022150,展示盒,DP197102K,80,1320,,,,,80,1320
02022151,展示盒,DP2017156K,135,881.55,,,,,135,881.55
02022152,展示盒,DP197109,105,1081.5,,,,,105,1081.5
02022153,展示盒,DP207220,98,1009.4,,,,,98,1009.4
02022154,展示盒,DP207217,102,1315.8,,,,,102,1315.8
02022155,展示盒,DP207271K,130,678.6,,,,,130,678.6
02022156,展示盒+卡头,DP207254K,1004,7228.8,,,,,1004,7228.8
02022157,展示盒+卡头+保护罩,DP207256K,142,741.24,,,,,142,741.24
02022158,展示盒+卡头+保护罩,DP207249K,114,815.1,,,,,114,815.1
02022159,展示盒+卡头,DP207250K,132,1445.4,,,,,132,1445.4
02022160,展示盒,DP207252K,19,85.5,,,,,19,85.5
02022161,展示盒+卡头+保护罩,DP207253K,85,788.8,,,,,85,788.8
02022162,展示盒+卡头+保护罩,DP207288K,84,667.8,,,,,84,667.8
02022163,展示盒+卡头+保护罩,DP207287K,132,1049.4,,,,,132,1049.4
02022164,展示盒,DP207264K,398,1253.7,40,165.6,254,839.7,184,579.6
02022165,展示盒,DP207280K,100,1650,,,,,100,1650
02022166,立体刮刮画展示盒,DP207310E,22,149.6,,,,,22,149.6
02022167,迷你刮画展示盒+保护罩,DP207275E,,,2000,4300,592,1272.8,1408,3027.2
02022168,空大指甲贴展示盒+卡头+内衬+保护罩,DP207265E,123,725.7,,,,,123,725.7
02022169,大纹身贴空展示盒+卡头+内衬+保护罩,DP207278E,148,1894.4,,,,,148,1894.4
02022171,展示盒+卡头+保护罩,DP207253E,23,213.44,,,,,23,213.44
02022173,刺绣箍展示盒,DP207284E,100,653,,,,,100,653
02022174,JRK绕线画展示盒,DP207285E,132,1359.6,,,,,132,1359.6
