2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
020101642,带提手蛋糕盒包装,CH221817,3212,5396.16,3030,5090.4,1444,2425.92,4798,8060.64
020101643,带提手蛋糕盒包装,CH221818,5570,9357.6,,,1216,2042.88,4354,7314.72
020101015,（小圆筒-老虎）圆筒,CH221637,3782,12345.18,,,732,2188.68,3050,10156.5
020101016,（小圆筒-兔子）圆筒,CH221638,2660,7953.4,,,1040,3109.6,1620,4843.8
020101029,（2阶穿绳）彩盒,CH221800,1382,1630.76,,,516,608.88,866,1021.88
020101030,（2阶穿绳）彩盒,CH221801,2764,3261.52,,,896,1057.28,1868,2204.24
020101031,（2阶穿绳）彩盒,CH221802,2980,3516.4,,,1216,1434.88,1764,2081.52
020101032,（2阶穿绳）彩盒,CH221803,1718,2027.24,2030,2395.4,1192,1406.56,2556,3016.08
020101033,（3阶穿绳）彩盒,CH221804,2836,3346.48,,,1264,1491.52,1572,1854.96
020101034,（3阶穿绳）彩盒,CH221805,3124,3686.32,,,1576,1859.68,1548,1826.64
020101035,（3阶穿绳）彩盒,CH221806,1598,1885.64,2030,2395.4,1244,1467.92,2384,2813.12
020101036,（3阶穿绳）彩盒,CH221807,1694,1998.92,,,592,698.56,1102,1300.36
020101046,彩盒,ZE1070A,3020,7550,,,3020,7550,,
020101050,彩盒,ZE1067A,3020,8456,,,3020,8456,,
020101051,信封,CH221839,4748,6884.6,3030,4393.5,1720,2494,6058,8784.1
020101052,信封,CH221840,5612,8137.4,,,1720,2494,3892,5643.4
020101053,信封,CH221841,4748,6884.6,3030,4393.5,1288,1867.6,6490,9410.5
020101054,信封,CH221842,4748,6884.6,,,1216,1763.2,3532,5121.4
020101655,（阳光捕手套装）信封,,,,6100,7930,6100,7930,,
020101060,（串珠-粉兔兔）彩盒,CH221883,5408,4867.2,3030,2727,1960,1764,6478,5830.2
020101061,（串珠-紫喵喵）彩盒,CH221884,5120,4608,3030,2727,1960,1764,6190,5571
020101062,（串珠-蓝汪汪）彩盒,CH221885,5168,4651.2,3030,2727,1912,1720.8,6286,5657.4
020101063,（串珠-桔小狐）彩盒,CH221886,5456,4910.4,3030,2727,1336,1202.4,7150,6435
020101067,带提手披萨盒包装,CH221575,1120,560,,,,,1120,560
020101068,展开大信封 -1号,CH221575,1120,168,,,,,1120,168
020101069,展开大信封 -2号,CH221575,1120,168,,,,,1120,168
020101070,展开大信封 -3号,CH221575,1120,168,,,,,1120,168
020101663,纸盒,CH221575,1120,156.8,,,,,1120,156.8
020101664,纸盒,CH221447,50,600,,,,,50,600
020101665,纸盒,CH221448,50,600,,,,,50,600
020101666,彩盒,CH221576,100,2000,,,,,100,2000
020101670,（趣味刮画-花朵贺卡）信封,CH221855,3050,2592.5,,,360,306,2690,2286.5
020101671,（趣味刮画-车车贺卡）信封,CH221856,3050,2592.5,,,360,306,2690,2286.5
020101672,（趣味刮画-公主贺卡）信封,CH221857,3050,2592.5,,,360,306,2690,2286.5
020101673,（趣味刮画-恐龙贺卡）信封,CH221858,3050,2592.5,,,360,306,2690,2286.5
020101079,展开小信封,CH221773,9150,8646.75,,,496,468.72,8654,8178.03
020101080,纸盒,CH221773,3050,2882.25,,,496,468.72,2554,2413.53
020101081,天地盖糊裱盒,CH221808,3036,14390.64,,,452,2142.48,2584,12248.16
020101082,礼品盒,CH221773,3036,18999.29,,,496,3103.97,2540,15895.32
020101083,半圆翻盖手提盒,CH221893,3036,32931.49,,,1102,11953.39,1934,20978.1
020101084,（热缩片信封装-动物）信封,,,,8050,7647.5,,,8050,7647.5
02010319,(线条刮刮画-哇！动物们)刮画,CH1542,7290,11518.2,,,,,7290,11518.2
02010320,(线条刮刮画-恐龙)刮画,CH1544,6810,10759.8,,,,,6810,10759.8
02010321,(线条刮刮画-独角兽)刮画,CH1545,8970,14172.6,,,,,8970,14172.6
02010328,(线条刮刮画-鸟类动物)刮画,CH1543,7290,11518.2,,,,,7290,11518.2
02010342,(关节玩偶-花园精灵)刮画,CH191682,,,3050,10370,480,1632,2570,8738
02010343,(关节玩偶-独角兽)刮画,CH191683,1768,6011.2,,,580,1972,1188,4039.2
02010345,(关节玩偶-森林动物)刮画,CH191685,2926,9965.03,,,232,790.12,2694,9174.91
02010364,刮画,CH191434,5876,37606.4,,,932,5964.8,4944,31641.6
02010365,刮画,CH201721,1295,2861.95,,,,,1295,2861.95
02010366,刮画,CH201723,1216,2808.96,,,120,277.2,1096,2531.76
02010372,刮画,CH201761,966,3622.5,,,,,966,3622.5
02010373,刮画,CH201767,3062,5205.4,,,,,3062,5205.4
02010374,刮画,CH201768,2798,4756.6,,,,,2798,4756.6
02010375,水性刮画,CH201772,588,940.8,,,128,204.8,460,736
02010378,(刮画花束) 刮画+刮笔,CH211731,2110,3544.8,,,,,2110,3544.8
02010379,(刮画花束) 刮画+刮笔,CH211732,2420,4065.6,,,384,645.12,2036,3420.48
02010380,(刮画花束) 刮画+刮笔,CH211733,1930,3242.4,,,,,1930,3242.4
02010381,(刮画花束) 刮画+刮笔,CH211734,2800,4704,,,350,588,2450,4116
